id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
3531,Moflat,Hydro,Reservoir,Store,Norway,30.0,,1954.0,1954.0,,59.883233,8.684686,,0.0,47.5,0.0,{nan},"{'JRC': {'JRC-N273'}, 'OPSD': {'OEU-3993'}}"
3532,Moelv,Hydro,Reservoir,Store,Norway,1.2,,2001.0,2001.0,,60.943698,10.745986,1717.9166666666667,15.5,57.0,2061.5,{nan},"{'JRC': {'JRC-N786'}, 'OPSD': {'OEU-3991'}}"
3533,Mo,Hydro,Reservoir,Store,Norway,10.0,,1908.0,2000.0,,61.416521,5.949262,,0.0,550.0,0.0,{nan},"{'JRC': {'JRC-N778'}, 'OPSD': {'OEU-3988', 'OEU-3987'}}"
3534,Mjeldeelva,Hydro,Reservoir,Store,Norway,1.64,,2016.0,2016.0,,69.543744,18.426351,,0.0,140.3,0.0,{nan},"{'JRC': {'JRC-N1809'}, 'OPSD': {'OEU-3985'}}"
3535,Misfjord,Hydro,Reservoir,Store,Norway,1.4,,2012.0,2012.0,,62.614782,7.044391,,0.0,248.0,0.0,{nan},"{'JRC': {'JRC-N1715'}, 'OPSD': {'OEU-3984'}}"
3536,Midtlaeger,Hydro,Reservoir,Store,Norway,3.47,,2016.0,2016.0,,59.833807,6.9935,3902.4495677233426,36.5,153.5,13541.5,{nan},"{'JRC': {'JRC-N1850'}, 'OPSD': {'OEU-3980'}}"
3537,Middyr,Hydro,Reservoir,Store,Norway,1.3,,1981.0,1981.0,,59.871268,7.007766,1153.8461538461538,10.0,66.0,1500.0,{nan},"{'JRC': {'JRC-N269'}, 'OPSD': {'OEU-3978'}}"
3538,Middola,Hydro,Reservoir,Store,Norway,4.36,,2015.0,2015.0,,59.929771,8.748934,,0.0,276.7,0.0,{nan},"{'JRC': {'JRC-N1794'}, 'OPSD': {'OEU-3979'}}"
3539,Mesna,Hydro,Reservoir,Store,Norway,37.5,,1985.0,1985.0,,61.115301,10.454126,1884.138666666667,81.4,356.0,70655.20000000001,{nan},"{'JRC': {'JRC-N268'}, 'OPSD': {'OEU-3976'}}"
3540,Melkefoss,Hydro,Reservoir,Store,Norway,22.0,,1978.0,1978.0,,69.399382,29.7873,,0.0,10.19,0.0,{nan},"{'JRC': {'JRC-N267'}, 'OPSD': {'OEU-3972'}}"
3541,Mela,Hydro,Reservoir,Store,Norway,3.74,,2017.0,2017.0,,64.254483,12.545905,130.16310160427807,0.81,259.0,486.81,{nan},"{'JRC': {'JRC-N1811'}, 'OPSD': {'OEU-3970'}}"
3542,Mel,Hydro,Reservoir,Store,Norway,52.0,,1989.0,1997.0,,61.350357,6.573761,2233.419230769231,60.3,810.0,116137.8,{nan},"{'JRC': {'JRC-N549'}, 'OPSD': {'OEU-3969', 'OEU-4104'}}"
3543,Meisal,Hydro,Reservoir,Store,Norway,4.1,,1936.0,1999.0,,62.788628,8.232293,868.2926829268292,2.5,605.0,3559.9999999999995,{nan},"{'JRC': {'JRC-N766'}, 'OPSD': {'OEU-3967', 'OEU-3968'}}"
